codcar,carrera
1146,Diplomatura Universitaria en Gestión Integrada de Fronteras
1148,"Seminario Universitario en Juego, Educación y Emoción"
1147,Curso Neurociencias y Derecho de Daños
1065,Administración de Inventarios
1150,La Cultura Agile
1151,"Seminario Análisis institucional, Discurso y Poder"
1152,Seminario Subjetividad Intersubjetividad y lo Social
1153,Centralidad y misión de la escuela en la prevención de abusos a NNyA
845,Diplomatura en Derecho Administrativo Profundizado
1154,Diplomatura en Administración y Gestión Pública
1155,Diplomatura Universitaria en Inteligencia de Marketing
1159,Capacitación en ESI para Catequistas y Agentes Pastorales. Nivel II
1160,IMPLEMENTACIÓN BIM
1162,Taller de Filosofía y Cultura Geek/Pop. Cómics. Series. Películas
1066,Indicadores de Desempeño y de Costos
1163,Curso de posgrado en filosofía contemporánea: “Jacques Derrida – La filosofía en deconstrucción”
1165,Curso Modelación Hidrológica con HEC HMS
1205,Curso Orientación Vocacional como proceso de aprendizaje
1168,Diseño de Iluminación Exterior y Pública
361,Licenciatura en Criminología - Ciclo de Complementación Curricular
1067,Evaluación Tecnico-Economica de proyectos. Costos del Ciclo de Vida
1167,ENVOLVENTES E INFRAESTRUCTURAS VERDES. DISEÑO Y ESTUDIO DE TECNOLOGÍAS
1200,Licenciatura en Kinesiología y Fisioterapia
1201,Licenciatura en Terapia Ocupacional
1202,Licenciatura en Fonoaudiología
1203,Tecnicatura Universitaria en Podología
1172,Aplicaciones Tecnológicas de la Energía Solar Fotovoltaica
1068,Comportamiento Humano
1069,Implementación de un Sistema de Gestión de Activos
58,Licenciatura en Ciencia de Datos
1169,Licenciatura en Psicomotricidad
1171,1° Jornadas de Psicopedagogía: La construcción del campo conceptual psicopedagógico
56,Tecnicatura Universitaria en Podología
1177,Diplomatura en Catequetica
180,Licenciatura en Historia - Ciclo de Complementación Curricular
1202,Licenciatura en Fonoaudiología
186,Licenciatura en Entrenamiento Deportivo - Ciclo de Complementación Curricular
1204,Tecnicatura Universitaria en Producción de Bio-Imágenes
363,Procuración
363,Procuración
355,Escribanía
146,Escribanía Ciclo de Complementación Curricular
679,Curso regular anual de coreano
1180,Diplomatura en Cinotécnia Aplicada al Área de Seguridad
1181,Diplomatura en Gestión del Aprendizaje y la Conducta en Caninos
1183,Diplomatura Universitaria en Impuesto a Las Ganancias
1184,Diplomatura Universitaria en Administración Tributaria Provincial y Municipal
1137,Diplomatura en Museología y Curaduría
320,Licenciatura en Teología
1186,Curso de Museología
1187,Curso de Gestión Cultural
187,Licenciatura en Lenguajes Expresivos - Ciclo de Complementación Curricular
186,Licenciatura en Entrenamiento Deportivo - Ciclo de Complementación Curricular
1185,Curso de Postgrado Inclusión Educativa
1052,Introducción a la enseñanza de inglés con fines específicos
1194,Centralidad de la escuela en la prevención de abusos a NNA
1179,"Diplomatura Universitaria en Formulación y Gestión Estratégica
en Bionegocios"
850,Introducción a la enseñanza de inglés con fines específicos (ESP)
1197,Curso de Criminología Corporativa
1207,Método biográfico e Informe Social: Una revisión desde el Trabajo Social
1196,Abordaje de la ESI en Ámbitos Pastorales
1199,"Diplomatura universitaria en intolerancias alimentarias, alergias y enfermedad celiaca"
1209,Diplomatura en Minería Sostenible
1151,"Seminario Análisis institucional, Discurso y Poder"
1152,Seminario Subjetividad Intersubjetividad y lo Social
1213,"Diplomatura en Dimensionamiento, Instalación y Mantenimiento de Equipos Solares"
1206,Curso de Actualización en Enfermedad de Parkinson
1195,Catedra Abierta Derechos Humanos y Justicia Internacional
1182,Los Centennials y la Pornografía.Un Abordaje integrador
1216,El ABC del Community Manager
1218,Taller de Coil para docentes
1221,"Diplomatura Superior Universitaria en Ética, Orientada al Ejercicio Profesional"
1215,Webinario de MAX MSP
1214,"Diplomatura en Iluminación Interior, Exterior y Fotovoltaica"
1226,Curso Una aproximación al análisis schenkeriano
1225,Taller Programa Estratégico de Titulación de la Licenciatura en Gestión Educativa
1224,Negocios con China
1230,Cursos de Preparación en FCE (First)
1231,Cursos de Preparación en CAE
1228,Seguridad para Infraestructuras Críticas
1222,Congreso Joven
1236,Curso Intimidad y Sexualidad en la Pareja
1229,"Mitopoiesis: Integración de Psicología, Mitología, Teatro y Neurociencias"
1233,Odontología Equina
1232,Manejo integral de planteos de encierre a corral (feedlot). Aspectos técnicos y económicos
1248,Congreso de Podología
1240,"Diplomatura Universitaria en Ciberacoso a Niños, Niñas y Adolescentes"
1246,Diplomatura Universitaria en Investigaciones de Mercados Criminales y Lavado de Activos
1245,Diplomatura Universitaria en Litigación Penal en el Sistema Acusatorio Adversarial
1134,Diplomatura en Gestión Estratégica de TICS
1133,Base de Datos Aplicado a los Negocios
1244,CURSO SAGRADAS ESCRITURAS: LIBROS HISTÓRICOS
1239,¿Cómo se trabaja desde las Psicoterapias Contextuales?
1242,Diplomatura en Musculación y Sobrecarga en Salas de Fitness
1247,Psicodrama: una aproximación al método
1251,Taller Arte y Filosofía: Lo pensable en lo visible
1250,El diseño de la enseñanza en entornos híbridos
1252,Eucarística
1238,"Curso Lecturas de la condición humana: continuidad, criticas y rupturas"
1253,Gestión de Contenidos Transmedia
1254, Asuntos públicos y Comunicación de Crisis
1255,Curso de perfeccionamiento docente Modelos híbridos para enseñar y aprender en escenarios digitales
1259,Importancia del Revenue Management en Hotelería
1257, Anfitrión de Sitios Religiosos
349,Especialización en Derecho de Familia
1258, Hotelería Sostenible
1256,Brand Management Aplicado al Turismo
1267,Psicología Aplicada al Deporte y a las Actividades Físicas Relacionadas con la Salud
1269,Diplomatura en Paisajismo
1268,Diplomatura Universitaria en Prueba Pericial
1218,COIL: para Docentes Ucasal Modalidad Virtual
1265,Curso: Bitcoin y Criptomonedas
1264,Curso de Finanzas Personales
1266,Evaluación de Proyectos de Inversión
1262,Aprendé a Invertir en Bolsa
1260,Diplomatura Universitaria en Gestión de Bienes Culturales
1278,"El poder de la Negociación 3W. Gano YO, VOS Y LA COMUNIDAD-Gestiones sostenibles y Acuerdos duraderos"
1280,"Curso de Forensia Digital, Pericias Informáticas y Escenarios Delictivos Virtuales"
1227,I Encuentro Internacional de Prof. Universitarios
1279,Curso Participación Ciudadana en el Desarrollo Turístico Sostenible
1281,Curso Gobernanza Turística
1275,Curso de Árbitro Provincial de Ajedrez 2022
1284,Actualidad de Ortega y Gasset
250,Licenciatura en Administración de Negocios Digitales
250,Licenciatura en Administración de Negocios Digitales
1286,Sintaxis Pantriádica: Introducción a la teoria Neo-Rimaniana
1285,Diplomatura Universitaria en Gestión en Industrias del Entretenimiento
1283,INTRODUCCIÓN A LA VENTILACIÓN MECÁNICA APLICADA A LA ANESTESIOLOGÍA
249,Profesorado en Campo Disciplinar según Titulación de Base
1290, Migración y refugio: abordaje desde un enfoque de derechos humanos
1296,Jornada de Filosofía
1299,II JORNADA UNIV. PENSANDO JUNTOS EJE CUESTIONES ANTROPOLÓGICAS Y ÉTICAS ACERCA DEL DESARROLLO HUMANO
368,Licenciatura en Administración y Gestión Universitaria - Ciclo de Complementación Curricular
1300,Diplomatura Didactica de la Lengua Latina
1301,Seminario de Microtonalismo
1291,Diplomatura en Lectura y Escritura Académica
371,Licenciatura en Bioimágenes - Ciclo Complementario
1302,Finanzas Corporativas
138,Licenciatura en Higiene y Seguridad en el Trabajo
1304,Seminario de Posgrado El método comparativo constante como herramienta para el análisis  cualitativo
373,"Maestría en Gestión de Proyectos, Obras y Desarrollos Inmobiliarios"
191,Analista en Comercio Exterior
357,Maestría en Derecho del Trabajo
62,Maestría en Administración de Negocios
192,Especialización en Evaluación de Impacto Ambiental
121,Maestría en Gestión Ambiental
1303,Historia de la Iglesia Latinoamericana y Argentina
1310,Estrategias y Técnicas de Intervención Psicosocial
1309,Conceptos éticos y Políticos de la Intervención e Investigación
1312,Protección de la niñez en entornos digitales
1311,"XI Congreso Latinoamericano de Ciencia y Religión. ""Fin ¿y finalidad? del universo"""
1307,Diplomatura en acompañamiento a la mujer con embarazo vulnerable
1308,Diplomatura en Estrategias para la Ciberseguridad
1316,Diplomatura Universitaria en Seguridad Social
1320, Anfitriones del Turismo Sostenible
1033,Diplomatura en Derecho Laboral Práctico
1321,"Seminario internacional de ocio educativo, recración y acción social "
1322,Diplomatura Universitaria en Investigación Jurídica
1315,Diplomatura Universitaria en Procedimiento Fiscal y Penal Tributario
1318,Ciclo de Talleres Investigación Cualitativa de Problemáticas Psicosociales
1317,Diplomatura Universitaria en Responsabilidad del Estado Tendencias Actuales
1324,Diplomatura Internacional en el Estudio e Investigación del Crimen Organizado Transnacional
1326,"Proyecto Interdisciplinario Centro de apoyo para federalizar el Ingreso al Servicio Exterior de la Nación. ""La carrera diplomática: una opción laboral y una decisión de vida"""
1295,Seminario teoria e historia de la Arquitectura a traves de los libros
1325,Diplomatura Escenarios del Turismo Sostenible
1327,Curso de Postgrado en Recursos Informáticos para la Revisión Bibliográfica
376,Especialización en Educación Digital
377,Maestría En Derecho Administrativo Y Administración Pública
1226,Curso Una aproximación al análisis schenkeriano
1334,Curso Experto: Brand Management - Administración y narración de marca
1336,Curso Experto: Lead Nurturing - Crear vínculos de valor con el cliente
1335,Curso Experto Content Curation
1337,"Curso Experto: Product Manager - Dirección, desarrollo y entrega de productos"
1339,"Diplomatura en Deportes Emergentes, Alternativos y Étnicos"
1340,"Diplomatura en Infancias, Juego y Prácticas Corporales"
1342,Diplomatura Universitaria en Docencia Superior
1341,Diplomatura en Derecho de la Seguridad Social
1343,Tecnología y Calidad de Quesos y Otros Lácteos Fermentados en el Contexto Territorial del N.O.A.
1349,Diplomatura en Lean 
1346,Diplomatura en Community Manager
1332,Broker Digital - El Nuevo Inmobiliario
1347,Catecumenado a la vida matrimonial
1348,Diplomatura en Gestión de Industrias Creativas
1350,Diplomatura en Gestión de las Comunicaciones en Organizaciones de la Sociedad Civil (OSC)
1351,Diplomatura en Emprendedurismo e Innovación para Negocios
375,Maestría en Psicoanálisis de la Infancia y Adolescencia
1355,Jornada de Actualización Profesional en Ceremonial
1333,Contratación de Obra Pública
1338,XIII Reunión Argentina de Patología Veterinaria 2023. 17º Seminario de la Fundación C.L. Davis - S.W. Thompson.
1344, Curso de Elaboración de Quesos y Dulce de leche en el contexto territorial del Noa ORGANICO
0,Otra Carrera Presencial Sub Sede
1360,Programa de Actualización en Gestión de Negocios para Hotelería y Turismo
1364,Competencias Digitales: Curación de Contenidos aplicada a la Educación
1363,Diplomado en Estudios Judaicos
1359,Diplomatura en herramientas competitivas para el turismo sostenible
1345,VII conferencia de informática forense info - conf 2023
1328,"Gestión, administración y narración de marca turística"
1354,Curso de neonatología equina
1356,La escuela ante el abuso sexual a nna. Marcos de actuación.
1352,Cuestiones de Género en el Derecho Penal
1353,Atlas.ti como herramienta de Análisis Cualitativo
1362,Curso de Capacitación en Competencias Profesionales
1329,Un arbitraje intencionado
235,Maestría en Gestión de Organizaciones de la Sociedad Civil
1372, Diplomatura Universitaria en Osteopatía
1365,Diplomatura Universitaria en Gerontopsicomotricidad
1367,- Diálogo entre Arte y Tecnología - Usos artísticos y pedagógicos de dispositivos interactivos
1374,Abordaje Familiar Inicial frente al Consumo de Drogas
1361,Curso de Capacitación para Peritos Arbitrales 
172,Especialización en Interpretación de Conferencias en Inglés
380,Especialización en Estadística Aplicada
1166,Programa de Formación Básica en Mediación
1369,Jornadas: adecuaciones ambientales como facilitadores para la vida independiente en adultos mayores
1323,Diplomatura en Comunicación Minera
1368,Historia de la Iglesia Antigua
1222,Congreso Joven
1373,Encuentro Nacional e Internacional de Estudiantes y Graduados de carreras de Licenciatura
1379,Diplomatura en Tasaciones Judiciales
1380,Diplomatura en Derecho Vial
72,Especialización en Seguridad e Higiene en el Trabajo
214,Licenciatura en Comercio Internacional
198,Especialización en Finanzas de Empresas
1375,Diálogo Psicopedagía Epistemología
1371,Jornada de Formación en Tartamudez
1376,Diplomatura Universitaria: Recursos Educativos Abiertos para Educación Secundaria y Superior
1383,Curso Desafíos Docentes Hoy: Sujetos de Derecho e Inclusión
1386,Marca Personal y su Gestión para Profesionales de las Ciencias Jurídicas
1388,Diplomatura universitaria en ciencias del ejercicio y lesiones deportivas
1387,El Deseo de Dios en Agustín de Hipona
1390,"1° Jornada Regional de Políticas Deportivas, Educación Física y Salud"
1382,Inclusión Educativa en los Nuevos Escenarios Educativos
1389,Virus Emergentes: perspectivas e intervenciones para hoy y mañana
1385,La Transversalidad de la Ética Profesional en los Informes Sociales
229,Especialización en Deportes y Actividad Física para la Salud
1393,Diplomatura en Comunicación Estratégica en Criminología
1391, Jornada de Diseño y Sustentabilidad
1392,Derecho Procesal Tributario
1394,Impacto del Blockchain en la Protección de los DDHH
1282,Diplomatura Univ.: Fundamentos de Metodología de la Investigación Científica en Ciencias de Salud
1399,Técnicas y Herramientas para el Trabajo Comunitario: Pesquisa Cartográfica y Cartografías Sociales
1165,MODELACIÓN HIDROLÓGICA CON HEC HMS
1398,Tendencias Del Periodismo
1397,"Comunicación Estratégica en Organizaciones Privadas, Públicas y Gubernamentales"
1395,Aproximaciones a la perspectiva de la Investigación Acción Participativa (IAP)
1396,Conferencia: Bases para la reconfiguración de la educación
378,Organización y Dirección de Eventos y Ceremonial
1403,CURSO BASICO DE RADIOFISICA SANITARIA
1046,JORNADAS ANUALES DE REPRODUCCIÓN Y SANIDAD BOVINA
1407,Curso Herramientas para la prevención y acompañamiento de las crisis matrimoniales
1401,Diplomatura en Arte Sacro
1406,3° Jornadas Anuales de Reproducción y Sanidad Bovina
383,Tecnicatura en Operaciones Mineras
1404,Criptoactivos y Tokenizacion
1408,Rabia: Importancia e Impacto en Salud Pública y Salud Animal - Una Sola Salud
1169,Licenciatura en Psicomotricidad
1415,TALLER DE COMUNICACIÓN - CÓMO PRESENTARME EN PÚBLICO
1417,Curso de Excel
1416,Curso de Power B
1414,Diplomatura Universitaria en Justicia Penal Adolescente y Procesos de Reforma
1421,Curso Emocionalidad y Nutricion Animal en Terapia Neural
1427,Gerencia Ambiental y Planificación Estratégica
1420,Lo imprescindible del comportamiento animal para un clínico
161,"Tecnicatura en Gestión de Bancos, Empresas Financieras y de Seguros"
1426,"Decisiones Estratégicas de Inversión, Financiamiento y Distribución de Dividendos"
1424,Auditoría Ambiental y Seguridad e Higiene
1425,Valorización Económica del Daño Ambiental
1411,"Contratos Financieros Derivados: Futuros, Opciones Swaps"
1429,Marketing Management
1432,Panel: Entre la Eutanasia y la Muerte Digna. Conversando con profesionales.
1435,Diplomatura Universitaria en Biotecnología con Orientación en Negocios
1433,"Conferencia «Del racionalismo al marxismo, y de este al narcisismo nihilista»."
382,Especialización en Psicopedagogía en Salud con orientación en Neurodesarrollo y Aprendizaje
90,Maestría en Prevención y Control de Infecciones
162,Doctorado en Ciencias Jurídicas
1439,Curso Turismo en Clave de Prevención
1437,Diplomatura Universitaria en Medicina Felina
1438,"Diplomatura en Tecnología, Producción y Calidad en Quesos en el Ámbito Territorial del N.O.A."
384,Maestría en Integración y Cooperación Internacional
1434,Que es la Terapia Neural y cuando derivar
1440,Curso de Conversación en Italiano
1441,Curso de Motion Graphics en After Effects
188,Maestría en Entrenamiento y Nutrición Deportiva
1444,Diplomatura en Psicología Organizacional orientada a la gestión del capital humano
1445,MEDICINA INTERNA EN EQUINOS CÓLICO EQUINO DISCUSIÓN DE CASOS CLÍNICOS
1447,Diplomatura Universitaria en Derecho de Daños La prueba del daño y su cuantificación
1450,Diplomatura Universitaria en Nutrición de Pequeños Animales Domésticos
1452,"Diplomatura Universitaria: ""Protección de los Niños, Niñas y Adolescentes en la Era Digital"""
1448,Diplomatura Universitaria en Investigaciones de Mercados Criminales y Lavado de Activos
1451,"Diplomatura: ""Cuidados Respiratorios en Enfermedades Neuromusculares"" (CuREN)"
159,Maestría en Ciencias de Datos
242,Maestría en Agronegocios 
345,Especialización en Logística
1446,ISAÍAS: ACERCAMIENTO EXEGÉTICO AL LIBRO BÍBLICO.
1453,Diplomatura en Logistica Minera
1456,Diplomatura en Dirección y Estrategia de Negocios
1410,"FORENSIA DIGITAL, CIBERSEGURIDAD Y TECNOLOGÍAS EMERGENTES"
1455,Diplomatura Universitaria en Alergias Alimentarias
1461,Diplomatura Universitaria en Deporte Social y Comunitario
1454, DIPLOMATURA EN COMUNICACIÓN Y LENGUAJE EN TRASTORNOS DEL NEURODESARROLLO
1464,Curso Razonamiento clínico Ocupacional
944,Diplomatura Universitaria en Derecho del Consumidor
1466,Introducción a las Normas Internacionales de Información Financiera (NIIF) - Nivel Básico
1467, La práctica forense en Trabajo Social para la restitución de derechos vulnerados
1465,Cuestiones Fundamentales de la Prueba Digital en la Litigación Penal
1472,Gamificación: cuando jugar es serio
1469,Flipped Classroom: cómo dar vuelta tu clase
1473,Taller de Creación de Juegos Digitales para Aprender Online
1470,Taller Aplicaciones prácticas de la Inteligencia Artificial en el aula
1469,Diplomatura Universitaria en Abordaje del síndrome cardiorrenal en pacientes con Diabetes
1475,Curso Litio y Minería
1478,Técnicas de Influencia y Persuasión en el Proceso de Ventas.
1477,Comunicación efectiva para equipos de trabajo.
1476,Productividad y Gestión de Proyectos: Oficina Virtual con No Code
1462,Curso Intensivo sobre Lavado de Activos
1490,Valuación de Empresas
1487,Gestión de Recursos Humanos
1491,Machine Learning y Deep Learning
1484,Curso de Actualización en alteraciones Motoras en Pediatría
1468,II CONGRESO INTERNACIONAL DE PROFESORADOS UNIVERSITARIOS III ENCUENTRO DE PRÁCTICAS DOCENTES
1492,Diplomatura en Mercados Internacionales del Vino y Sommellerie
1489,Emprendedores del Turismo Sostenible
1471,Diplomatura en Gestión y Administración Gastronómica
1463,- Curso Ciencia y Religión en la Escuela
1485,Jornada de Entrenamiento vocal basado en la fisiología
1472,Liquidación anual de Personas Humanas y Sucesiones Indivisas - Impuesto a las ganancias e Impuesto sobre los bienes personales
1488,Jornadas de Arte y Tecnología en el Norte (JATeN)
1483,Curso de Armonía aplicada al Folklore Argentino
1482,Diplomatura en Derecho Minero y Gestión Empresarial
1498,Diplomatura en Psicología aplicada al Deporte y a la actividad física
1501,Curso Modelos de Negocios Competitivos
1504,Curso Cálculo Financiero
1503,"Curso Mercado de Capitales, Valuación de Activos Financieros y Gestión"
1502,Curso Riesgos Eléctricos y Mecánicos
1499,CURSO: IDENTIFICACIÓN FORENSE POR VOZ
1506,DIPLOMATURA UNIVERSITARIA EN PRODUCCIÓN DE BOVINOS DE CARNE DEL N.O.A.
1507,CUIDANDO EL FUTURO: ESTRATEGIAS DE CRIANZA Y CUIDADO DE LOS NIÑOS
1496,Herramientas digitales para la elaboración de contenido para redes sociales
1486,Teaching English Through an Intercultural Perspective (La enseñanza del inglés desde una perspectiva intercultural)
1510,Diplomatura Neurociencias para Abogados
1512,Diplomatura Universitaria en Enfermedades Zoonoticas Emergentes y Reemergentes
1500,"Diplomatura Universitaria: ""Rea e Inteligencia Artificial para la Educación Media y Superior"""
1511,Diplomatura Universitaria en Podología forense
1508,Diplomatura en Finanzas
748,Oratoria y Comunicación Efectiva
1513,Conversatorio sobre Interculturalidad y Derecho a la Salud
1481,II CONGRESO INTERNACIONAL DE PROFESORADOS UNIVERSITARIOS III ENCUENTRO DE PRÁCTICAS DOCENTES
1381,Curso Intensivo de Japonés
1514,Consumos problemáticos y contexto actual: experiencias comunitarias y abordaje desde la IAP
1517,Gestión y Organización Ambiental del Territorio
1519,Diplomatura en Logística y Transporte de Mercancías Peligrosas
1516,Curso Evaluación de Impacto Ambiental
1518,Management de la Calidad
278,Diplomatura Universitaria en Derecho de los Usuarios y Consumidores
1515,Diplomatura en Derecho Penal Económico y Derecho Penal Tributario
1454,Diplomatura en Comunicación y Lenguaje 2°COHORTE
1417,1417 Curso Excel 2024 2° Cohorte
1530,Diplomatura en Mantenimiento de Espacios Verdes y Jardinería
1522,Técnicas y Resolución Estratégica de Conflictos
1527,Explorando fundamentos del arreglo en el tango: curso introductorio
1302,Curso Finanzas Corporativas
1528,Curso Aportes para la Educación de la Afectividad en Ámbitos Pastorales
1523,Seminario Trabajo Social Forense
1531,Taller de Detección y resolución de Vértigo Posicional Paroxístico Benigno (VPPB)
1526,Programa de Liderazgo Social y Político los desafíos del Humanismo en el Siglo XXI
1414,Diplomatura Universitaria en Justicia Penal Adolescente y Procesos de Reforma
1525,Curso Edición de video exprés para redes sociales con CapCut
1534,Diplomatura Universitaria de Derecho Penal.
1520,Programa Ejecutivo de Formación Especializada Neuromarketing para Mercados Recesivos
726,Toma de Decisiones en Contextos de Crisis e Incertidumbre
1521,Programa Ejecutivo de Formación Especializada Neuroventas para Mercados en Crisis
1539,Programa de Formación Universitaria en Asistente Jurídico y Notarial
1542,Planificación Ambiental Urbana
1541,"Jornada de Arquitectura Sacra: ""La casa de Dios es nuestra casa: Re-imaginar el espacio litúrgico"""
1545,Curso Práctico de Elaboración de Quesos Artesanales y Cata Dirigida de Quesos
1540,Curso Neurociencias y sociedad: impacto sociocultural de los discursos científicos del cerebr
1544,Discurso e Intervención en Trabajo Social: el pasaje de la oralidad a la textualidad
1547,Inteligencia Artificial Aplicada a los Negocios
1543,La antropología de Edith Stein: Implicaciones para una pedagogía centrada en la persona
1549,Del juego al deporte - basquetbol
1546,Curso Plan Estratégico para Agronegocios
1548,Curso Bases de la Neurofisiología
1554,Gestión de Residuos y Economía Circular
1553,Conducción y Liderazgo
1552,Métodos Cuantitativos Aplicados al Transporte
734,X Congreso de Economía Regional del NOA
1557,La dialéctica entre acción y narración como clave para pensar la historia y la política
1558,"Diplomatura ""Itinerarios Catecumenales para la Vida Matrimonial"""
1555,2da jornada Regional: De la Iniciación Deportiva al alto rendimiento. El deporteno descansa
1556,Rabia: su importancia en las Ciencias Veterinarias
1555,2da jornada Regional: De la Iniciación Deportiva al alto rendimiento. El deporteno descansa
1551,Curso de Administración y Gestión de Contratos en Mineria
1561,Gerencia Ambiental y Planificación Estratégica
1562,Política y Legislación Ambiental
1559,La estética sonora y ritual de las comunidades originarias del noroeste salteño
1560,Jornada de Innovación en Arquitectura y Diseño - Vanguardia by Pao
1565,El arte de construir el Nosotros. Ciclo de encuentros para parejas en sus primeros años de casados
1571,Diplomatura en Cultura del Vino y Turismo
1570,Taller Full Peeling: Técnicas Avanzadas
1569,"El hombre como artesano de su destino. Dignidad y libertad en ""el discurso sobre la dignidad del Hombre"" de Giovanni Pico della Mirandola"""
1572,Curso Aspectos Sociales de la Evaluación de Impacto Ambiental
1575,La imagen de la arquitectura como práctica cultural. Derivas del hacer contemporáneo
1574,Jornada de redacción de contratos
1577,1ra Jornada Día Mundial de la Calidad
1576,"La dignidad infinita de la persona, fundamento de nuestra identidad institucional"
1578,Taller Internacional de Arte e Historia: Viajes de ida y vuelta entre Europa meridional y América
1579,Curso de Posgrado: Bases Celulares y Moleculares de la Patología 
372,Tecnicatura en Administración y Gestión Judicial
86,Licenciatura en Turismo
391,Maestría en Trabajo Social Forense
228,Maestría en Valoración del Patrimonio Natural y Cultural 
244,Corredor Inmobiliario y Martillero Público
324,Especialización en Dirección y Gestión Hotelera
175,Guía Universitario de Turismo 
392,Maestría en Producción Bovina
325,Especialización en Educación de Jóvenes y Adultos
323,Formación Docente para Profesionales
381,Especialización en Cirugía de Pequeños Animales Domésticos
